termName	cui	tty
Parkinsonism	C0242422	disorder
Hemolytic disease of fetus OR newborn due to ABO immunization	C0270202	disorder
Erythema nodosum	C0014743	disorder
Anisometropia	C0003081	disorder
Closed fracture of two ribs	C0159619	disorder
Restless legs	C0035258	disorder
Nephrosclerosis	C0027719	disorder
Microscopic cystic corneal dystrophy	C0271285	disorder
Open wound of leg with complication	C0273402	disorder
Neonatal polycythemia	C0272153	disorder
Occipital headache	C0231613	finding
Floppy infant syndrome	C0270971	disorder
Peripheral visual field defect	C0271193	finding
Closed fracture of acetabulum	C0159641	disorder
Postmastectomy lymphedema syndrome	C0472692	disorder
Recurrent major depression in partial remission	C0236764	disorder
Pancreatectomy	C0030279	procedure
Complication of transplanted liver	C1261282	disorder
Entropion	C0014390	disorder
Closed fracture of clavicle	C0159659	disorder
Closed fracture of lower end of radius AND ulna	C0159738	disorder
Idiopathic progressive polyneuropathy	C0154756	disorder
Abscess of tonsil	C0238469	disorder
Osteoarthrosis involving multiple sites but not designated as generalized	C0263774	disorder
Stenosis of esophagus	C0014866	disorder
Compensatory emphysema	C0155918	disorder
Foreign body in digestive tract	C0016546	disorder
Psoriasis with arthropathy	C0003872	disorder
Enthesopathy of wrist AND/OR carpus	C0158311	disorder
Personality disorder	C0031212	disorder
Idiopathic osteoporosis	C0158447	disorder
Reconstruction of breast	C0085076	procedure
Bullous myringitis	C0155461	disorder
Unilateral congenital dislocation of hip	C0009702	disorder
Arachnoid cyst	C0078981	disorder
Complication of renal dialysis	C0274419	disorder
Drusen of optic disc	C0029128	disorder
Anatomical narrow angle glaucoma	C0154947	disorder
Keloid scar	C0022548	disorder
Cholestasis	C0008370	finding
Fracture of rib	C0035522	disorder
Genital herpes simplex	C0019342	disorder
Administration of vaccine to produce active immunity	C0205991	procedure
Postoperative infection	C0392618	disorder
Hypogonadotropic hypogonadism	C0271623	disorder
Crohn's disease	C0010346	disorder
Viral disease	C0042769	disorder
Pneumonia due to Streptococcus	C0155862	disorder
Dental consultation and report	C0204126	procedure
Homonymous hemianopia	C0271202	finding
Dehydration	C0011175	disorder
Foreign body in vagina	C0149804	disorder
Intervertebral disc disorder of lumbar region with myelopathy	C0158270	disorder
Diabetic gastroparesis	C0267176	disorder
Cyanosis	C0010520	finding
Gestational proteinuria	C0269674	disorder
Closed fracture of foot	C0272775	disorder
Computerized axial tomography of brain	C0412585	procedure
Tachycardia	C0039231	finding
Benign mucous membrane pemphigoid	C0030804	disorder
Closed fracture of lateral malleolus	C0435892	disorder
Partial deafness	C0018772	disorder
Fibrous histiocytoma, malignant	C0334463	morphologic abnormality
Traumatic cataract	C0154983	disorder
Pruritus of vagina	C0042256	disorder
Hyperthyroidism	C0020550	disorder
Amniocentesis	C0002627	procedure
Closed anterior dislocation of humerus	C0159917	disorder
Anovulation	C0003128	finding
Hemospermia	C0149707	finding
Pityriasis	C0032024	disorder
Rabies vaccination	C0042205	procedure
Closed fracture of malar AND/OR maxillary bones	C0009045	disorder
Traction detachment of retina	C0154828	disorder
Vitamin D deficiency	C0042870	disorder
Erythema infectiosum	C0085273	disorder
Portal hypertension	C0020541	disorder
Vertebral artery syndrome	C0042560	disorder
Pain in the coccyx	C0009193	finding
Ectopic pregnancy	C0032987	disorder
Tendinitis	C0039503	disorder
Antepartum hemorrhage	C0269608	disorder
Cervical lymphadenitis	C0149642	disorder
Band-shaped keratopathy	C0155120	disorder
Primary chronic pseudo-obstruction of colon	C0009377	disorder
Acute transudative otitis media	C0271432	disorder
Chronic neurogenic ulcer of lower limb	C0406524	disorder
Iron deficiency	C0240066	disorder
Disorganized schizophrenia	C0036347	disorder
Attention deficit hyperactivity disorder, predominantly inattentive type	C0339002	disorder
Mallory-Weiss syndrome	C0024633	disorder
Tonic-clonic epilepsy	C0014549	disorder
Slow transit constipation	C0729262	disorder
Graves' disease	C0018213	disorder
Implantation of aortic valve prosthesis or synthetic device	C0190108	procedure
Infantile colic	C0266836	finding
Diastolic dysfunction	C0520863	finding
Crushed in between objects	C1278558	event
Brachial plexus disorder	C0700251	disorder
Mixed bipolar I disorder in remission	C0520627	disorder
Subdural hemorrhage	C0018946	disorder
Depressive disorder	C0011581	disorder
Stasis dermatitis	C0011620	disorder
Polyotia	C0266611	disorder
Strabismic amblyopia	C0750903	disorder
Panic disorder with agoraphobia	C0236800	disorder
Multiple joint pain	C0162296	finding
Complication of medical care	C0161836	disorder
Congenital syphilis	C0039131	disorder
Umbilical discharge	C0232502	finding
Retinal lattice degeneration	C0154856	disorder
Carcinoid syndrome	C0024586	disorder
Normal labor	C0233081	finding
Hyperuricemia	C0740394	disorder
Adenocarcinoma, no subtype	C0001418	morphologic abnormality
Pervasive developmental disorder	C0524528	disorder
Chronic maxillary sinusitis	C0008698	disorder
Rotator cuff impingement syndrome	C1282926	disorder
Angioplasty of vein	C0455750	procedure
Fibromuscular hyperplasia of artery	C0016052	disorder
Disorder of artery	C0852949	disorder
Implantation of cochlear prosthetic device	C0302559	procedure
Removal of staples	C0204864	procedure
Acute myeloid leukemia with maturation, FAB M2	C1879321	disorder
Takayasu's disease	C0039263	disorder
Closed fracture of neck of femur	C0272751	disorder
Ulnar neuropathy	C0154743	disorder
Tuberculosis of vertebral column	C0041330	disorder
Repair of paraesophageal diaphragmatic hernia	C0014857	procedure
Blighted ovum	C0266648	disorder
Acute cardiac pulmonary edema	C0398350	disorder
Strain of neck muscle	C0262573	disorder
Ischiorectal abscess	C0149816	disorder
Chondromalacia of patella	C0008475	disorder
Sick sinus syndrome	C0037052	disorder
Psychomotor epilepsy	C0085417	disorder
Arteriosclerosis obliterans	C0003851	disorder
Pneumothorax	C0032326	disorder
Verbal apraxia	C0349391	disorder
Glomerulonephritis	C0017658	disorder
Reversible ischemic neurologic deficit (R.I.N.D.) syndrome	C0553690	disorder
Aneurysm of renal artery	C0155742	disorder
Fracture of tooth	C0040441	disorder
Chloasma	C0025218	disorder
Carcinoid heart disease	C0007093	disorder
Ophthalmic examination and evaluation	C0200149	procedure
Non-toxic multinodular goiter	C0271761	disorder
Disorder of endocrine system	C0014130	disorder
Disorder of lymphatic system	C0024228	disorder
Malignant neoplastic disease	C0006826	disorder
Malignant tumor of stomach	C0024623	disorder
Malignant tumor of cecum	C0153437	disorder
Malignant tumor of anal canal	C0153445	disorder
Malignant tumor of gallbladder	C0153452	disorder
Malignant tumor of cervix	C0007847	disorder
Malignant tumor of lung	C0242379	disorder
Malignant tumor of anterior two-thirds of tongue	C0153354	disorder
Malignant tumor of vulva	C0375071	disorder
Malignant tumor of tongue	C0153349	disorder
Malignant tumor of parotid gland	C0747273	disorder
Malignant tumor of floor of mouth	C0153368	disorder
Malignant tumor of palate	C0153378	disorder
Malignant tumor of oropharynx	C0153382	disorder
Malignant tumor of tonsil	C0751560	disorder
Malignant tumor of hypopharynx	C0153398	disorder
Malignant tumor of esophagus	C0546837	disorder
Malignant tumor of colon	C0007102	disorder
Malignant tumor of hepatic flexure	C0153433	disorder
Malignant tumor of transverse colon	C0153434	disorder
Malignant tumor of descending colon	C0153435	disorder
Malignant tumor of sigmoid colon	C0153436	disorder
Malignant tumor of ascending colon	C0153439	disorder
Malignant tumor of splenic flexure	C0153440	disorder
Malignant tumor of rectosigmoid junction	C0153443	disorder
Malignant tumor of pancreas	C0346647	disorder
Malignant tumor of head of pancreas	C0153458	disorder
Malignant tumor of nasal cavity	C0728864	disorder
Malignant tumor of maxillary sinus	C0153476	disorder
Malignant tumor of larynx	C0007107	disorder
Malignant tumor of ovary	C1140680	disorder
Malignant tumor of vagina	C0042237	disorder
Malignant tumor of testis	C0153594	disorder
Malignant tumor of renal pelvis	C0153618	disorder
Malignant tumor of ureter	C0153619	disorder
Malignant tumor of urethra	C0153620	disorder
Malignant tumor of spinal cord	C0153646	disorder
Malignant tumor of thyroid gland	C0007115	disorder
Primary hyperparathyroidism	C0221002	disorder
Malignant tumor of neck	C0746787	disorder
Malignant tumor of peritoneum	C0153467	disorder
Malignant tumor of mediastinum	C0153504	disorder
Malignant tumor of oral cavity	C0153381	disorder
Malignant tumor of large intestine	C0346629	disorder
Malignant tumor of penis	C0153601	disorder
Malignant tumor of urinary tract proper	C0751571	disorder
Malignant tumor of kidney	C0740457	disorder
Cholesteatoma	C0008373	disorder
Addison's disease	C0001403	disorder
Acute pharyngitis	C0001344	disorder
Intervertebral disc disorder	C0158252	disorder
Failure to gain weight	C0231246	finding
Severe recurrent major depression without psychotic features	C0154412	disorder
Restrictive lung disease	C0085581	disorder
Mixed bipolar I disorder in partial remission	C0236785	disorder
Acute pyelonephritis	C0520575	disorder
Erythema multiforme	C0014742	disorder
Chemotherapy	C0392920	procedure
Malaise	C0231218	finding
Myelogram	C0026995	procedure
Pyloric stenosis	C0034194	disorder
Seminoma	C0036631	morphologic abnormality
Contusion of eye	C0438624	disorder
Pituitary dwarfism	C0013338	disorder
Skin irritation	C0152030	disorder
Lesion of ulnar nerve	C1288279	disorder
Infantile malignant osteopetrosis	C1318518	disorder
Supernumerary tooth	C0040457	disorder
Late effect of fracture of lower extremities	C0160778	disorder
Hepatosplenomegaly	C0019214	disorder
Epiretinal membrane	C0339543	disorder
Fracture of distal phalanx of finger	C0272696	disorder
Heart valve disorder	C0018824	disorder
Placenta previa	C0032046	disorder
Onychia of finger	C0311210	disorder
Closed fracture of metatarsal bone	C0435944	disorder
Atypical hyperplasia of breast	C1297929	disorder
Fasciitis	C0015645	disorder
Nonulcer dyspepsia	C0267167	disorder
Placement of stent in coronary artery	C0521232	procedure
Sinusitis	C0037199	disorder
Hypoparathyroidism	C0020626	disorder
Mumps	C0026780	disorder
Drainage of external ear	C0198018	procedure
Major depressive disorder	C1269683	disorder
Superficial laceration of foot	C1299975	disorder
Superficial laceration of hand	C1299979	disorder
Facial laceration	C1299982	disorder
Motion sickness	C0026603	finding
Guttate psoriasis	C0343052	disorder
Head tilt	C1299932	finding
Adverse reaction to food	C1299938	disorder
Hyperproteinemia	C0267988	disorder
Screening for substance abuse	C0038577	procedure
Dyslipidemia	C0242339	disorder
Primary testicular failure	C1384582	disorder
Disorder of endocrine ovary	C0154208	disorder
Stasis ulcer	C1527356	disorder
Postsurgical menopause	C0740421	disorder
Systolic dysfunction	C0749225	finding
Visual loss after cataract extraction	C1299615	disorder
Postural orthostatic tachycardia syndrome	C1299624	disorder
Arthritis of knee	C0240111	disorder
Arthritis of spine	C0949690	disorder
Diabetic foot ulcer	C1456868	disorder
Reactive airways dysfunction syndrome	C1299633	disorder
Cholestasis of parenteral nutrition	C1299634	disorder
Urosepsis	C0149801	disorder
Hiatal hernia with gastroesophageal reflux disease	C1268942	disorder
Disorder of carotid artery	C0007273	disorder
Amputation of toe	C0188602	procedure
Release for de Quervain's tenosynovitis of hand	C0187110	procedure
Iron deficiency anemia secondary to inadequate dietary iron intake	C0154287	disorder
Fatty liver	C0015695	disorder
Laser iridotomy	C0395459	procedure
Disorder of eye region	C1269791	disorder
History of alcohol abuse	C0221628	situation
Urolith	C0042018	finding
Erythromelalgia	C0014804	disorder
Glaucoma associated with ocular inflammation	C0339593	disorder
Bipolar I disorder	C0853193	disorder
Goiter	C0018021	disorder
Elevated blood-pressure reading without diagnosis of hypertension	C0392682	finding
Panic disorder	C0030319	disorder
Infection due to Mycobacterium avium-intracellulare group	C1299471	disorder
Physical child abuse	C0236861	event
Progressive Angina	C1299435	disorder
Malignant neoplasm of uterus	C0153567	disorder
Primary malignant neoplasm of pancreas	C1299297	disorder
Primary malignant neoplasm of soft tissues	C1299302	disorder
Primary malignant neoplasm of the peritoneum	C1299307	disorder
Abnormal glucose tolerance test during pregnancy - baby not yet delivered	C0404734	finding
Malignant neoplasm of female breast	C0235653	disorder
Gangrenous disorder	C0017086	disorder
Carcinoma of male breast	C0238033	disorder
Carcinoma of endocervix	C1299237	disorder
Carcinoma of exocervix	C1299238	disorder
Carcinoma of glottis	C0740083	disorder
Disorder of joint of spine	C0949691	disorder
Carcinoma of lower lobe, bronchus or lung	C1299242	disorder
Carcinoma of middle lobe, bronchus or lung	C1299244	disorder
Carcinoma of main bronchus	C1299250	disorder
Malignant neoplasm of skin of trunk	C0496797	disorder
Malignant neoplasm of skin	C0007114	disorder
Carcinoma of upper lobe, bronchus or lung	C1299257	disorder
Carcinoma of esophagus	C0152018	disorder
Carcinoma of gallbladder	C0235782	disorder
Alternating exotropia	C0152207	disorder
Carcinoma of pancreas	C0235974	disorder
Carcinoma of stomach	C0699791	disorder
Sarcoma, metastatic	C0748505	morphologic abnormality
Malignant melanoma, metastatic	C0860594	morphologic abnormality
Malignant melanoma	C0025202	disorder
Hypertrophy of breast	C0020565	disorder
Infection due to resistant organism	C1269831	disorder
Arthritis	C0003864	disorder
Macular retinal edema	C0271051	disorder
Dermabrasion	C0011593	procedure
Post percutaneous transluminal coronary angioplasty	C1269832	finding
Reticulosarcoma	C0024302	disorder
Recurrent herpes simplex	C0276223	disorder
Motor neuron disease	C0085084	disorder
Implantation of posterior chamber intraocular lens	C1298763	procedure
Corneal epithelial and basement membrane dystrophy	C0521723	disorder
Battey disease	C0700226	disorder
Infection due to Mycobacterium intracellulare	C0026916	disorder
Cannabis abuse	C0006868	disorder
Multiple bruising	C0559567	finding
Polyp in nasopharynx	C0008298	disorder
Chronic pain syndrome	C1298685	disorder
Osteoarthritis of glenohumeral joint	C0409939	disorder
Premature menopause	C0025322	finding
Upper gastrointestinal hemorrhage	C0041909	disorder
Meckel's diverticulum	C0025037	disorder
Biliary colic	C0151824	finding
Pericardial effusion	C0031039	disorder
Hyperlipoproteinemia	C0020476	disorder
Corneal foreign body	C0161002	disorder
Extrinsic allergic alveolitis	C0002390	disorder
Fluid volume deficit	C1313905	finding
Dysplasia of vagina	C0156384	disorder
Senile osteopenia	C0271864	disorder
Inflammation of cervix	C0007860	disorder
Disorder of esophagus	C0014852	disorder
Avoidant personality disorder	C0004444	disorder
Communicable disease contact	C0836911	finding
Patellar tendonitis	C0158317	disorder
Migraine	C0149931	disorder
Osteoarthrosis of the carpometacarpal joint of the thumb	C0409956	disorder
Contusion of abdominal wall	C0160926	disorder
Rumination disorder	C0154575	disorder
Pancreatic insufficiency	C0030293	disorder
Laryngomalacia	C0264303	disorder
Hypermetropia	C0020490	disorder
Cholecystectomy	C0008320	procedure
Crohn's disease of ileum	C0267380	disorder
Abnormal voice	C1527340	finding
Hematometra	C0018948	disorder
Hypertensive disorder, systemic arterial	C0020538	disorder
Toxic effect of lead compound	C0023176	disorder
Vaginal pain	C0236082	finding
Chronic purulent otitis media	C0271454	disorder
Postpartum examination and care of mother	C0200067	procedure
Mitral valvuloplasty	C0396849	procedure
Repair of tricuspid valve	C0396899	procedure
Sprain	C0038045	morphologic abnormality
Hypertensive renal disease	C0848548	disorder
Community acquired pneumonia	C0694549	disorder
Fetus OR newborn affected by premature rupture of membranes	C0158818	disorder
Vaginoscopy with biopsy of cervix	C0195179	procedure
Cataract extraction and insertion of intraocular lens	C0395506	procedure
Postoperative complication	C0032787	disorder
Hematoma	C0018944	disorder
Disorder of pancreas	C0030286	disorder
Cardiac care	C0150158	regime/therapy
Infusion care education	C1161016	procedure
Hospice care	C0085555	regime/therapy
Removal of ear wax	C0352068	procedure
Measles-mumps-rubella vaccination	C0199810	procedure
Neuropathy	C0442874	disorder
Stented coronary artery	C1272587	finding
Temporomandibular joint-pain-dysfunction syndrome	C0039496	disorder
Disorder of function of stomach	C0156084	disorder
Intravenous therapy	C0455142	regime/therapy
Repair of middle ear	C0041447	procedure
Orchiectomy	C0029189	procedure
Fever	C0015967	finding
Pedal cycle accident	C0261200	event
Hypothermia	C0020672	finding
Menorrhagia	C0025323	finding
Developmental articulation disorder	C0236828	disorder
Victim of abuse	C0562381	finding
Lightheadedness	C0220870	finding
Endoscopic retrograde cholangiopancreatography	C0008310	procedure
Endometrial biopsy	C1510477	procedure
Disorder of menstruation	C0025345	disorder
Mild cognitive disorder	C1270972	disorder
Impaired cognition	C0338656	finding
Memory impairment	C0233794	finding
Adjustment reaction of adolescence	C0233439	disorder
Cholesteatoma of attic	C0155489	disorder
Atherosclerosis	C0004153	morphologic abnormality
Hepatic vein thrombosis	C0019154	disorder
Central retinal artery occlusion	C0007688	disorder
Impairment of balance	C0575090	finding
Effusion of joint	C1253936	disorder
Partial hysterectomy	C1270947	procedure
Supracervical hysterectomy	C1270948	procedure
Neonatal jaundice	C0022353	disorder
Surgical procedure	C0543467	procedure
Laminectomy	C0022983	procedure
Removal of ovarian cyst	C0195488	procedure
Amblyopia	C0002418	disorder
Cervical spondylosis	C1384641	disorder
Cervical arthritis	C0263854	disorder
Turner syndrome	C0041408	disorder
Cystitis	C0010692	disorder
Onychia of toe	C0263135	disorder
Paronychia of toe	C0311211	disorder
Ascites	C0003962	disorder
Varicella	C0008049	disorder
Hypoxia	C0242184	disorder
Hypoxemia	C0700292	disorder
Contraception care	C1171186	regime/therapy
Anoxic encephalopathy	C0003132	disorder
Allergic asthma	C0155877	disorder
Abnormal blood pressure	C0005826	finding
Disorder of refraction	C0034951	disorder
Atypical squamous cells of undetermined significance	C0521184	morphologic abnormality
Nonproliferative diabetic retinopathy	C0004606	disorder
Impaired fasting glycaemia	C1272092	disorder
History of - bilateral oophorectomy	C1272060	situation
Congenital pectus excavatum	C0016842	disorder
Colposcopy	C0009417	procedure
Coronary artery bypass with autogenous graft, four grafts	C0190237	procedure
Lumpectomy of breast	C0851238	procedure
Pigment dispersion syndrome	C1271398	disorder
Operative procedure on spinal structure	C0185908	procedure
Primary angle-closure glaucoma	C0017606	disorder
Angle-closure glaucoma	C0017605	disorder
Phacomorphic glaucoma	C0339590	disorder
Chandler syndrome	C0544008	disorder
Closed fracture of four ribs	C0159621	disorder
Hypernatremia	C0020488	disorder
Legally induced abortion	C0000812	disorder
Hypovolemic shock	C0020683	disorder
Female infertility of tubal origin	C0156415	disorder
Senile cataract	C0036646	disorder
Unsteady gait	C0231686	finding
Thyroglossal duct cyst	C0040124	disorder
Acute coronary syndrome	C0948089	disorder
Telogen effluvium	C0263518	disorder
Family history: Alzheimer's disease	C1271045	situation
Proctitis	C0033246	disorder
Implantation of internal cardiac defibrillator	C1273352	procedure
Redundant prepuce	C0345325	disorder
Foley catheter long term use	C1275524	procedure
Abnormal renal function	C0151746	finding
Premature infant	C0021294	finding
Left ventricular diastolic dysfunction	C1273070	disorder
Anaphylaxis	C0002792	disorder
Raised prostate specific antigen	C0178415	finding
Disorder of gallbladder	C0016977	disorder
Hyperkeratosis	C0870082	disorder
Dermatomyositis	C0011633	disorder
Inguinal hernia	C0019294	disorder
Infective arthritis	C0003869	disorder
Osteoarthritis	C0029408	disorder
Bronchopneumonia	C0006285	disorder
Pyogenic granuloma of skin	C0263218	disorder
Celiac disease	C0007570	disorder
Non-articular rheumatism	C0553642	disorder
Acute and chronic cholecystitis	C0302472	disorder
Umbilical hernia	C0019322	disorder
Generalized exfoliative dermatitis	C0011606	disorder
Systemic mast cell disease	C0221013	disorder
Amputation of lower limb	C0337308	procedure
Plastic operation on tendon	C0565350	procedure
Hordeolum	C0019917	disorder
Visual impairment	C0042798	disorder
Meibomian gland dysfunction	C1275684	disorder
Family planning education	C0199395	procedure
Pseudomembranous enterocolitis	C0014358	disorder
Rectal polyp	C0034887	disorder
Avascular necrosis of bone	C0027543	disorder
Impotence	C0242350	disorder
Pyosalpinx	C0034220	disorder
Gastric ulcer	C0038358	disorder
Median neuropathy	C0751922	disorder
Tympanostomy	C0087123	procedure
Somatization disorder	C0520482	disorder
Talipes equinovarus	C0009081	disorder
Prosthetic arthroplasty of the hip	C0392806	procedure
Hypesthesia	C0020580	finding
Death of relative	C0425043	event
Familial hypercholesterolemia	C0020445	disorder
Mixed collagen vascular disease	C0026272	disorder
Diverticular disease of colon	C0012819	disorder
Tension-type headache	C0033893	disorder
Vaginal enterocele	C0205792	disorder
Neurogenic bladder	C0005697	finding
Acute poliomyelitis	C0032371	disorder
Ehlers-Danlos syndrome	C0013720	disorder
Contusion of forearm	C0432762	disorder
Muscular headache	C0393736	disorder
Decreased muscle tone	C0026827	finding
Male erectile disorder	C0242350	disorder
Insertion of inferior vena caval filter	C0203024	procedure
Aseptic necrosis of bone	C0520474	disorder
Pre-eclampsia	C0032914	disorder
Disruption of episiotomy wound in the puerperium	C0269966	disorder
Diverticulosis of colon without diverticulitis	C0149653	disorder
Alternating esotropia	C0152205	disorder
Diaphragmatic hernia	C0019284	disorder
Whiplash injury to neck	C0043145	disorder
Vasovagal attack	C0042420	disorder
Vasovagal syncope	C0042420	disorder
Chronic respiratory failure	C0264492	disorder
Colostomy	C0009410	procedure
Lentigo	C0023321	disorder
Contraception education	C1636201	procedure
Senile hyperkeratosis	C0022603	disorder
Rosacea	C0035854	disorder
Abducens nerve disorder	C0271355	disorder
Sleep disorder	C0851578	disorder
Headache following lumbar puncture	C0270697	disorder
Vaccination for diphtheria, pertussis, and tetanus	C1302169	procedure
Congestive cardiomyopathy	C0007193	disorder
Tinea cruris	C1384589	disorder
Glossopyrosis	C0241426	disorder
Exotropia	C0015310	disorder
Malignant tumor of prostate	C0376358	disorder
Bladder neck obstruction	C0005694	disorder
Common peroneal neuropathy	C0751926	disorder
Adhesive capsulitis of shoulder	C0311223	disorder
Swallowing problem	C0392678	finding
Male sterilization	C0024559	procedure
Vertigo	C0042571	finding
Burning mouth syndrome	C0006430	disorder
Hemochromatosis	C0018995	disorder
Disorder characterized by back pain	C1302248	disorder
Pseudofolliculitis barbae	C0549150	disorder
History of - myocardial infarction	C1275835	situation
Bleeding from vagina	C0151706	disorder
History of - coronary artery bypass grafting	C1275842	situation
Arthropathy	C0022408	disorder
Zenker's diverticulum	C0085232	disorder
Cyst of breast	C0006144	disorder
Nonsenile cataract	C0154971	disorder
Malignant tumor of urinary bladder	C0005684	disorder
Regional lymph node metastasis present	C1275854	finding
Adenocarcinoma of prostate	C0007112	disorder
Retinopathy	C0035309	disorder
Adenoma of rectum	C1302652	disorder
Laser photocoagulation to retina	C0852815	procedure
Severe nonproliferative diabetic retinopathy with clinically significant macular edema	C1275952	disorder
Acquired plantar keratoderma	C1302709	disorder
Animal bite wound	C1302713	disorder
Rheumatoid arteritis	C0264993	disorder
Hirsutism	C0019572	disorder
Peripheral arterial occlusive disease	C1306889	disorder
Abrasion	C1302752	disorder
Disorder of taste	C0039338	disorder
Delayed puberty	C0034012	disorder
Melanocytic nevus of skin	C0027962	disorder
Peripheral vascular disease	C0085096	disorder
Intraepithelial squamous cell carcinoma	C0334245	disorder
Melanocytic nevus	C0027962	disorder
Ingrowing nail	C0027343	disorder
Primary cutaneous T-cell lymphoma	C0079773	disorder
Abdominal fibromatosis	C0206646	disorder
Lymphangioma	C0024221	disorder
Precocious puberty	C0034013	disorder
Decubitus ulcer	C0011127	disorder
Hemangioma	C0018916	disorder
Retinal defect	C0154823	disorder
Chronic sinusitis	C0149516	disorder
Creation of aortofemoral shunt	C0190430	procedure
Molluscum contagiosum infection	C0026393	disorder
Lower urinary tract infectious disease	C0268821	disorder
Obliterative bronchiolitis	C0006272	disorder
Thalassemia	C0039730	disorder
Type 1 diabetes mellitus with persistent microalbuminuria	C1303112	disorder
Diabetic foot examination	C1303165	regime/therapy
Pneumoconiosis	C0032273	disorder
Sprain of ligament of lumbosacral joint	C0272914	disorder
Acute ST segment elevation myocardial infarction	C1303258	disorder
Acute non-ST segment elevation myocardial infarction	C1276061	disorder
Allergic urticaria	C0149526	disorder
Epstein-Barr virus infection	C0149678	disorder
Pityriasis alba	C0085657	disorder
Acute urticaria	C0234935	disorder
Symptomatic dermographism	C0343065	disorder
Basal cell carcinoma of neck	C1304281	disorder
Basal cell carcinoma of face	C1304291	disorder
Basal cell carcinoma of lower extremity	C1304293	disorder
Vesicular eczema of hands and/or feet	C0032633	disorder
Contusion of shoulder region	C0160933	disorder
Acanthosis nigricans	C0000889	disorder
Contact dermatitis	C0011616	disorder
Squamous cell carcinoma	C0007137	disorder
Basal cell carcinoma of nose	C1274258	disorder
Basal cell carcinoma of ear	C1274260	disorder
Thrombophlebitis of superficial veins of lower extremity	C0265057	disorder
Venous lake	C0948672	disorder
Germ cell tumor	C0205851	disorder
Recurrent genital herpes simplex	C1274323	disorder
Human immunodeficiency virus (HIV) seropositivity	C0019699	disorder
Condylomata lata of perianal skin	C1274361	disorder
Mycobacterium chelonae infection of skin	C1274392	disorder
Second degree burn	C0332687	disorder
Non-healing surgical wound	C0375732	disorder
Mild recurrent major depression	C0154410	disorder
Squamous cell carcinoma of scalp	C1275179	disorder
Squamous cell carcinoma of skin of face	C1275180	disorder
Squamous cell carcinoma of hand	C1275184	disorder
Metastatic squamous cell carcinoma	C0334246	disorder
Basal cell carcinoma of scalp	C1275194	disorder
Neurilemmoma	C0027809	disorder
Neurofibroma	C0027830	disorder
Digital mucous cyst	C1275289	disorder
Domestic violence	C0206073	event
Deep venous thrombosis of lower extremity	C0340708	disorder
Postconcussion syndrome	C0546983	disorder
Degenerative spondylolisthesis	C0264184	disorder
Dizziness	C0012833	finding
Cholesterol retinal embolus	C1321321	disorder
Viral hepatitis, type A	C0019159	disorder
Bladder dysfunction	C0232841	finding
Hypothyroidism following radioiodine therapy	C0342168	disorder
Acute pulmonary edema	C0155919	disorder
Repair of aneurysm of abdominal aorta	C0741152	procedure
Drug-induced hyperpyrexia	C1320835	finding
Hemorrhage of urethra	C0241558	disorder
Occlusion of lower limb artery	C1320845	disorder
Streptococcus group B infection of the infant	C1319000	disorder
Peripheral degeneration of retina	C1320640	disorder
Hematochezia	C0018932	finding
Pharyngitis	C0031350	disorder
Congenital kyphoscoliosis	C0345392	disorder
Fracture of phalanx of hand	C0272694	disorder
Squamous cell carcinoma of larynx	C0280324	disorder
Widespread metastatic malignant neoplastic disease	C0346957	disorder
Asthmatic bronchitis	C1319018	disorder
Furunculosis of skin AND/OR subcutaneous tissue	C0016867	disorder
Hypertropia	C0020575	disorder
Adult victim of abuse	C0344198	finding
Alteration in parenting	C0231417	finding
Artificial respiration	C0035205	procedure
Skew deviation	C0271381	disorder
Obstruction of colon	C0235328	disorder
Attention deficit hyperactivity disorder	C1263846	disorder
Severe mental retardation (I.Q. 20-34)	C0036857	disorder
Echocardiography	C0013516	procedure
Dysphagia	C0011168	disorder
Magnetic resonance imaging of brain abnormal	C1319851	finding
Subacromial bursitis	C0546953	disorder
Autoimmune hepatitis	C0241910	disorder
Upper airway resistance syndrome	C1319384	disorder
Transitional cell carcinoma of kidney	C1319314	disorder
Infiltrating duct carcinoma of breast	C1134719	disorder
Adenocarcinoma of large intestine	C1319315	disorder
Adenocarcinoma of stomach	C0278701	disorder
Reflex sympathetic dystrophy of lower extremity	C0745890	disorder
Complex regional pain syndrome, type II, lower limb	C1443290	disorder
Complex regional pain syndrome, type II, upper limb	C1443291	disorder
Vision screening	C0042792	procedure
Ultrasound scan for fetal anomaly	C1443350	procedure
Autistic disorder	C0004352	disorder
Esophageal dysphagia	C0267072	disorder
Contraception care education	C1443484	procedure
Counseling	C0010210	procedure
Education, guidance and counseling	C1628336	procedure
Febrile neutropenia	C0746883	disorder
Clouded consciousness	C0683369	finding
Moderate mixed bipolar I disorder	C0236782	disorder
Hypothyroidism	C0020676	disorder
Guillain-Barre syndrome	C0018378	disorder
Respiratory failure	C1145670	disorder
Respiratory insufficiency	C0035229	disorder
Acute esophagitis	C0149882	disorder
Cough variant asthma	C0694548	disorder
Pathological fracture of neck of femur	C1443978	disorder
Pathological fracture of femur	C1443979	disorder
Alanine aminotransferase (ALT) (serum glutamic-pyruvic transaminase) (SGPT) level raised	C1443982	finding
Partial thromboplastin time increased	C0240671	finding
Chronic osteomyelitis	C0008707	disorder
Viral labyrinthitis	C0155508	disorder
Mitral valve prolapse	C0026267	disorder
